doi,title,year,cited_by_count,in_refs_bib
10.1016/j.jagp.2024.06.009,"Beta-to-Theta Entropy Ratio of EEG in Aging, Frontotemporal Dementia, and Alzheimer's Dementia",2024,22,
10.1016/j.neulet.2023.137313,Machine Learning and Electroencephalogram Signal based Diagnosis of Depression,2023,21,
10.3390/brainsci14060565,Multi-Threshold Recurrence Rate Plot: A Novel Methodology for EEG Analysis in Alzheimer’s Disease an,2024,21,
10.1177/1550059420971122,Added Value of QEEG for the Differential Diagnosis of Common Forms of Dementia,2020,20,
10.3389/fnhum.2022.921346,Multi-source joint domain adaptation for cross-subject and cross-session emotion recognition from el,2022,19,
10.1109/tbme.2020.3010854,Dimensionality Transcending: A Method for Merging BCI Datasets With Different Dimensionalities,2020,19,
10.3390/s23115051,Decoding Multi-Class Motor Imagery and Motor Execution Tasks Using Riemannian Geometry Algorithms on,2023,19,
10.1109/bibm58861.2023.10386011,Explainable Depression Recognition from EEG Signals via Graph Convolutional Network,2023,18,
10.1109/tcss.2024.3406988,Tensor Correlation Fusion for Multimodal Physiological Signal Emotion Recognition,2024,18,
10.3390/brainsci13060930,"Neuropsychological Evaluation and Quantitative EEG in Patients with Frontotemporal Dementia, Alzheim",2023,18,
10.3389/fnhum.2025.1583342,Adversarial denoising of EEG signals: a comparative analysis of standard GAN and WGAN-GP approaches,2025,17,
10.1109/tnnls.2018.2812799,A Comprehensive Look at Coding Techniques on Riemannian Manifolds,2018,15,
10.3390/brainsci14050462,Motor Imagery Classification Using Effective Channel Selection of Multichannel EEG,2024,15,
10.48550/arxiv.1602.08007,Practical Riemannian Neural Networks,2016,15,
10.3389/fnhum.2022.1049985,Tangent space alignment: Transfer learning for Brain-Computer Interface,2022,15,bleuz2022tangent
10.1145/3638985.3639024,Enhancing Sentiment Analysis on SEED-IV Dataset with Vision Transformers: A Comparative Study,2023,15,
10.1145/3732786,Graph Machine Learning in the Era of Large Language Models (LLMs),2025,15,
10.1109/tfuzz.2025.3569888,MF$^{2}$-Net: Exploring a Meta-Fuzzy Multimodal Fusion Network for Depression Recognition,2025,14,
10.1109/bibm55620.2022.9995246,A Multi-stream Deep Learning Model for EEG-based Depression Identification,2022,13,
10.1109/tnsre.2023.3336356,Decoding Multi-Brain Motor Imagery From EEG Using Coupling Feature Extraction and Few-Shot Learning,2023,13,
10.1109/iceet53442.2021.9659607,Transfer Learning for the Riemannian Tangent Space: Applications to Brain-Computer Interfaces,2021,13,bleuz2021transfer
10.1016/j.inffus.2025.103772,EmoSavior: Depression recognition and intervention via multimodal physiological signals and large la,2025,12,
10.1109/tcss.2023.3314508,Discriminative Joint Knowledge Transfer With Online Updating Mechanism for EEG-Based Emotion Recogni,2023,10,
10.1109/access.2020.3017234,Probability Distribution-Based Dimensionality Reduction on Riemannian Manifold of SPD Matrices,2020,10,
10.3217/978-3-85125-682-6-02,THE RIEMANNIAN MINIMUM DISTANCE TO MEANS FIELD CLASSIFIER,2020,9,
10.1093/imaiai/iav006,Riemannian metrics for neural networks I: feedforward networks,2015,9,
10.1088/1741-2552/ad5fbd,Unsupervised heterogeneous domain adaptation for EEG classification,2024,8,
10.1109/icassp39728.2021.9414790,Riemannian Geometry on Connectivity for Clinical BCI,2021,8,
10.1109/icdsp.2017.8096075,Classification of motor imagery BCI using multiband tangent space mapping,2017,7,
